id,source,physical_page,printed_page,item,content_and_conditions,current_web,gap,decision,new_location,confirmation,public_locations,implementation_treatment,implementation_detail
B04.06,パンフレット0723,4,4–5,タッチレス水栓,センサーホースシャワー水栓、クロム。紙面に「浄水機能無し」。浄水付きと混同しない,PC04/SP07 キッチン,水栓の機能と条件なし,採用,P07 補助仕様・P31,Q01,#catalog-stedia / #catalog-conditions,基礎説明を掲載／追加条件を保留,タッチレスの採用機種・浄水の有無は未確定。P07で仕様選定の案内のみ。
B04.07,パンフレット0723,4,4–5,食器洗い乾燥機,引き出し式、パネルタイプ、乾燥機能、約5人分40点。採用機種・標準範囲を注文仕様と確認,PC04/SP07 キッチン,機種・容量の説明なし,保留,P07 補助仕様・P28,Q01,#catalog-stedia / #catalog-compare-water,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B04.08,パンフレット0723,4,4–5,流レール節水試算,10秒の洗い流し約1L×1日3回×30日＝90L/月という条件付き試算,PC04/SP07 キッチン,日常の節水量保証と誤読しやすい。仕組みの説明で役割を満たす,不採用,P31 出典補足に採否記録,原資料照合済み。公開時の採用版確認は共通,#catalog-conditions,不採用（原設計の判定を維持）,顧客UIへ転記しない。理由は原資料台帳のgap欄。
B04.09,パンフレット0723,4,4–5,KT選択対象,花・京の選択設備。メーカー名はクリナップ,PC04/SP07 キッチン,現行キッチン本文にはKTがない,採用,P06・P08・P28,Q01,#catalog-kitchen / #catalog-kt / #catalog-compare-water,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B04.10,パンフレット0723,4,4–5,美サイレントEUシンク,特殊エンボスとコーティングで傷・汚れを抑え、手入れしやすい表面,PC04/SP07 キッチン,機能説明なし,採用,P08,原資料照合済み。公開時の採用版確認は共通,#catalog-kt,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B04.11,パンフレット0723,4,4–5,KT引き出し底板,ステンレス底板。汚れたときの拭き取りと収納内部の写真,PC04/SP07 キッチン,機能説明なし,採用,P08,原資料照合済み。公開時の採用版確認は共通,#catalog-kt,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B04.12,パンフレット0723,4,4–5,KTオールスライド収納,足元収納・コンロ横引き出し・包丁とラップの収納場所を示す,PC04/SP07 キッチン,機能説明なし,採用,P08,原資料照合済み。公開時の採用版確認は共通,#catalog-kt,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B04.13,パンフレット0723,4,4–5,KTサイレントレール,ゆっくり閉まる機能。耐荷重20kgはコンロ横引き出しを除く,PC04/SP07 キッチン,機能と適用除外なし,採用,P08・P31,Q01,#catalog-kt / #catalog-conditions,基礎説明を掲載／追加条件を保留,ゆっくり閉まる機能は掲載。20kgと適用除外の数値は非掲載。
B05.01,パンフレット0723,5,6–7,ES選択対象,風のシステムキッチン。メーカーはLIXIL,PC04/SP07 キッチン,現行はESのメーカーと具体仕様が省略,採用,P06・P09・P28,Q01,#catalog-kitchen / #catalog-es / #catalog-compare-water,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B05.02,パンフレット0723,5,6–7,アシストポケット,シンク下、使う物を立てて取り出す収納。ポケット・シェルフ構成は採用仕様で照合,PC04/SP07 キッチン,説明なし,採用,P09,Q01,#catalog-es,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B05.03,パンフレット0723,5,6–7,コンロ下ポケットの矛盾,本文にコンロ用説明、図にはポケットなし。両方を標準機能として出さない,PC04/SP07 キッチン,矛盾の整理なし,保留,P09 補助仕様,Q01,#catalog-es,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B05.04,パンフレット0723,5,6–7,ES引き出しと底板,メラミン底板、ソフトモーションレール、深型・浅型キャビネットの使い分け,PC04/SP07 キッチン,説明なし,採用,P09,原資料照合済み。公開時の採用版確認は共通,#catalog-es,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B05.05,パンフレット0723,5,6–7,ES食洗機キャビネット,食洗機下の浅型収納。食洗機の採用機種・容量は未確定,PC04/SP07 キッチン,説明なし,保留,P09・P28,Q01,#catalog-es / #catalog-compare-water,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B05.06,パンフレット0723,5,6–7,オールインワン浄水栓,浄水機能を備えた水栓。STEDIAの掲載水栓と区別,PC04/SP07 キッチン,説明なし,採用,P09・P28,Q01,#catalog-es / #catalog-compare-water,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B05.07,パンフレット0723,5,6–7,キレイシンク,内寸約76.8×40×19.5cm。水栓位置左右選択の紙面表記。採用型に依存,PC04/SP07 キッチン,説明なし,採用,P09・P31,Q01,#catalog-es / #catalog-conditions,基礎説明を掲載／追加条件を保留,シンクの形・清掃を掲載。内寸と水栓位置の選択条件は非掲載。
B05.08,パンフレット0723,5,6–7,てまなし排水口,リングのない排水口で清掃しやすい構造,PC04/SP07 キッチン,説明なし,採用,P09,原資料照合済み。公開時の採用版確認は共通,#catalog-es,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B05.09,パンフレット0723,5,6–7,天井・照明の事例,下がり天井、ペンダント、間接照明はオプションの説明として掲載,PC04/SP07 キッチン,現在の写真だけでは写真中の全設備が標準に見える,採用,P06・P09,原資料照合済み。公開時の採用版確認は共通,#catalog-kitchen / #catalog-es,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B05.10,パンフレット0723,5,6–7,未完成の追記欄・QR枠,「最新情報を追記」、空欄QRを掲載しない,PC04/SP07 キッチン,紙面の制作途中要素。読者の判断情報ではない,不採用,P31 制作記録,原資料照合済み。公開時の採用版確認は共通,#catalog-conditions,不採用（原設計の判定を維持）,顧客UIへ転記しない。理由は原資料台帳のgap欄。
B06.01,パンフレット0723,6,8–9,sazanaタイプ別,花・京Tタイプ、風Nタイプ。T/Nを全シリーズ共通としない,PC05/SP08 浴室,現在は浴室写真と「商品別」のみ,採用,P10・P28,Q02,#catalog-bath / #catalog-compare-water,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B06.02,パンフレット0723,6,8–9,浴室サイズ,花1616または1620、京・風1616。1620を全シリーズの標準としない,PC05/SP08 浴室,サイズ比較なし,採用,P10・P28,原資料照合済み。公開時の採用版確認は共通,#catalog-bath / #catalog-compare-water,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B06.03,パンフレット0723,6,8–9,浴槽の形,ゆるリラ浴槽ほかクレイドル・スクエア・ワイドの紙面掲載。ワイドは1620用,PC05/SP08 浴室,選べる形がない,採用,P10 詳細選択,Q02,#catalog-bath,基礎説明を掲載／追加条件を保留,形の候補とワイド1620用を掲載。無条件の無料選択は非掲載。
B06.04,パンフレット0723,6,8–9,魔法びん浴槽,保温材とふろふたの仕組み。Tタイプ表示。Nへの適用は確認,PC05/SP08 浴室,断面とタイプ条件がない,採用,P10,Q02,#catalog-bath,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B06.05,パンフレット0723,6,8–9,4時間後の温度差,2.5℃のメーカー試験値。試験条件を完全な原稿として取得できていない,PC05/SP08 浴室,数値を無条件で転記しない,保留,P10 試験条件・P31,Q02,#catalog-bath / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B06.06,パンフレット0723,6,8–9,床の違い,T：お掃除ラクラクほっカラリ床、N：カラリ床。断面と足触りは該当タイプで説明,PC05/SP08 浴室,床機能なし,採用,P10・P28,Q02,#catalog-bath / #catalog-compare-water,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B06.07,パンフレット0723,6,8–9,排水口の清掃,お掃除ラクラク排水口、抗菌・防カビの適用部位。家全体の防カビ保証ではない,PC05/SP08 浴室,説明なし,採用,P10 詳細,Q02,#catalog-bath,基礎説明を掲載／追加条件を保留,排水口の清掃を掲載。抗菌・防カビの試験効果は非掲載。
B06.08,パンフレット0723,6,8–9,お掃除ラクラク鏡,紙面のタイプラベルと施工写真の鏡オプション注記を区別,PC05/SP08 浴室,全浴室への誤適用を避ける,保留,P10 詳細,Q02,#catalog-bath,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B06.09,パンフレット0723,6,8–9,人大浴槽,人工大理石浴槽はオプション表記,PC05/SP08 浴室,現行注記なし,採用,P10 オプション欄,原資料照合済み。公開時の採用版確認は共通,#catalog-bath,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B06.10,パンフレット0723,6,8–9,マグネット壁と展示写真,壁への取り付け、手入れの実例。備品の付属範囲は別,PC05/SP08 浴室,写真中の備品の範囲なし,採用,P10 詳細,Q02,#catalog-bath,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B07.01,パンフレット0723,7,10–11,洗面の名称・寸法,TOTO Octave Lite、間口900mm、ボウル容量12L,PC05/SP09 洗面・トイレ,単なる洗面写真に留まる,採用,P11・P28,原資料照合済み。公開時の採用版確認は共通,#catalog-vanity / #catalog-compare-water,基礎説明を掲載／追加条件を保留,商品名と900mm幅を掲載。12L容量は採用ボウル照合が残るため非掲載。
B07.02,パンフレット0723,7,10–11,洗面収納の違い,花・京は引き出し、風は開き扉。比較表の結合セルを確認,PC05/SP09 洗面・トイレ,差の説明なし,採用,P11・P28,原資料照合済み。公開時の採用版確認は共通,#catalog-vanity / #catalog-compare-water,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B07.03,パンフレット0723,7,10–11,すべり台ボウル,水が排水口へ流れやすい形、ワンプッシュ排水栓,PC05/SP09 洗面・トイレ,説明なし,採用,P11,原資料照合済み。公開時の採用版確認は共通,#catalog-vanity,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B07.04,パンフレット0723,7,10–11,お掃除ラクラク水栓,水栓まわりに水がたまりにくい構造、ホース引き出し、吐水切替,PC05/SP09 洗面・トイレ,説明なし,採用,P11,原資料照合済み。公開時の採用版確認は共通,#catalog-vanity,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B07.05,パンフレット0723,7,10–11,鏡・照明,ワイドLED、エコミラー。収納部写真とセットで説明,PC05/SP09 洗面・トイレ,説明なし,採用,P11,原資料照合済み。公開時の採用版確認は共通,#catalog-vanity,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B07.06,パンフレット0723,7,10–11,ソフトクローズの条件,2段引き出しW750/W900用。開き扉の風に自動適用しない,PC05/SP09 洗面・トイレ,条件なし,採用,P11・P31,原資料照合済み。公開時の採用版確認は共通,#catalog-vanity / #catalog-conditions,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B07.07,パンフレット0723,7,10–11,トイレ配置,花・京共通セルに1F便器・2Fタンク式・別置き手洗い。風は1F/2Fタンク式,PC05/SP09 洗面・トイレ,過去台帳の「京は手洗いのみ」は結合セル読み違い。採用しない,採用,P12・P28,Q03,#catalog-toilet / #catalog-compare-water,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B07.08,パンフレット0723,7,10–11,便器の型番,紙面はウォシュレット一体形便器。写真からGG等の型番を推測しない,PC05/SP09 洗面・トイレ,正式型番がない,保留,P12・P28,Q03,#catalog-toilet / #catalog-compare-water,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B07.09,パンフレット0723,7,10–11,便ふた自動開閉・自動洗浄,掲載機能。1F/2F、シリーズ、機種への対応が未確定,PC05/SP09 洗面・トイレ,一体形便器全部への共通化を防ぐ,保留,P12 詳細,Q03,#catalog-toilet,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B07.10,パンフレット0723,7,10–11,プレミスト・セフィオンテクト,便器表面と使用前の水の働き。採用型番との照合後に掲載,PC05/SP09 洗面・トイレ,同上,保留,P12 詳細,Q03,#catalog-toilet,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B07.11,パンフレット0723,7,10–11,クリーン便座・お掃除リフト,継ぎ目と便器の隙間の清掃。適用機種の確認が必要,PC05/SP09 洗面・トイレ,同上,保留,P12 詳細,Q03,#catalog-toilet,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B07.12,パンフレット0723,7,10–11,停電時の洗浄,4秒レバー操作・電池不要という紙面説明。採用機種の取扱説明で照合,PC05/SP09 洗面・トイレ,誤操作を案内しない,保留,P12 詳細・P31,Q03,#catalog-toilet / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B08.01,パンフレット0723,8,12–13,花の室内建具,LIXIL ラシッサD：ヴィンティア、ノースフォレスト、キナリモダン、パレット、ラテオ。ラシッサSクリエ,PC06/SP10 内装,現在は建具名・選択範囲なし,採用,P13・P29,原資料照合済み。公開時の採用版確認は共通,#catalog-doors / #catalog-compare-interior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B08.02,パンフレット0723,8,12–13,京・風の室内建具,EIDAI スキスムS。床と建具を合わせた空間写真,PC06/SP10 内装,現在は建具名なし,採用,P13・P29,原資料照合済み。公開時の採用版確認は共通,#catalog-doors / #catalog-compare-interior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B08.03,パンフレット0723,8,12–13,空間コーディネート,メーカーの空間写真は色合わせの参考。家具・造作・全製品を標準としない,PC06/SP10 内装,写真の役割が曖昧,採用,P13,Q04/Q10,#catalog-doors,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B09.01,パンフレット0723,9,14–15,VINTIA色柄,DEネイビーブルー、DFボトルグリーン、DGチャコールブラック、DKナチュラルオーク、DBラフオーク、DCグレージュエルム,PC06/SP10 内装,色柄の一覧なし,採用,P14 色柄帳,Q04,#catalog-colors,基礎説明を掲載／追加条件を保留,色名・コード一覧を掲載。高解像度正規色見本は未取得。
B09.02,パンフレット0723,9,14–15,NORTH FOREST色柄,EHテンダーオーク、EJカームチーク、EKセージグリーン,PC06/SP10 内装,同上,採用,P14 色柄帳,Q04,#catalog-colors,基礎説明を掲載／追加条件を保留,色名・コード一覧を掲載。高解像度正規色見本は未取得。
B09.03,パンフレット0723,9,14–15,KINARI MODERN色柄,EDコウノキ、EEソフトモーブ、EFソフトグレー,PC06/SP10 内装,同上,採用,P14 色柄帳,Q04,#catalog-colors,基礎説明を掲載／追加条件を保留,色名・コード一覧を掲載。高解像度正規色見本は未取得。
B09.04,パンフレット0723,9,14–15,LATTEO色柄,DZウォルナット、DRショコラオーク、DXチェスナット、DYチェリー,PC06/SP10 内装,同上,採用,P14 色柄帳,Q04,#catalog-colors,基礎説明を掲載／追加条件を保留,色名・コード一覧を掲載。高解像度正規色見本は未取得。
B09.05,パンフレット0723,9,14–15,PALETTE色柄,DJホワイトオーク、DKナチュラルオーク、DLスモークオーク、DNブルーペイント、DTピンクアッシュ、DVグレーアッシュ,PC06/SP10 内装,同上,採用,P14 色柄帳,Q04,#catalog-colors,基礎説明を掲載／追加条件を保留,色名・コード一覧を掲載。高解像度正規色見本は未取得。
B09.06,パンフレット0723,9,14–15,CREA色柄,YYプレシャスホワイト、WAクリエアイボリー、ACクリエオーク、ADクリエチェリー、MMクリエモカ、RAコージーライトグレー、DDクリエダーク,PC06/SP10 内装,同上,採用,P14 色柄帳,Q04,#catalog-colors,基礎説明を掲載／追加条件を保留,色名・コード一覧を掲載。高解像度正規色見本は未取得。
B09.07,パンフレット0723,9,14–15,Skism S色柄,WHハーモニックホワイト、PPパールペール、LNネイキッドライト、GMグレースミディアム、CBショコラブラウン、DBディープブラック、GUライトグレージュ、PHプレーンホワイト,PC06/SP10 内装,同上,採用,P14 色柄帳,Q04,#catalog-colors,基礎説明を掲載／追加条件を保留,色名と矛盾のないコードのみ。GUコードは省きライトグレージュ名を残す。正規色見本未取得。
B09.08,パンフレット0723,9,14–15,Skism SのGU重複,紙面でGUが異なる画像に重複。色コードを勝手に補完しない,PC06/SP10 内装,二次資料にも誤記持ち越しの恐れ,保留,P14 色柄帳,Q04,#catalog-colors,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B09.09,パンフレット0723,9,14–15,枠・造作材の色,LIXILプレシャスホワイト、EIDAIプレーンホワイトの紙面注記,PC06/SP10 内装,色本体と枠の関係なし,採用,P14・P29,Q04,#catalog-colors / #catalog-compare-interior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B09.10,パンフレット0723,9,14–15,ガラス・パネル,透明/エッチング4mm、LGLは5mm、樹脂パネルの適用注記。採用ドア型との照合,PC06/SP10 内装,適用条件なし,保留,P14 詳細・P31,Q04,#catalog-colors / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B09.11,パンフレット0723,9,14–15,高さと扉デザイン,ハイドア・標準高、採光・目隠しの違いを写真と一緒に説明。高さは旧仕様との照合が必要,PC06/SP10 内装,説明なし,採用,P13–14,Q12,#catalog-doors / #catalog-colors,基礎説明を掲載／追加条件を保留,採光・視線・開き方・高さの選定説明を掲載。高さの数値は非掲載。
B10.01,パンフレット0723,10,16–17,花の床TY-02D,LIXIL、足ざわり・清掃・ワックス不要の特徴,PC06/SP10 内装,床の名前・違いなし,採用,P15・P29,原資料照合済み。公開時の採用版確認は共通,#catalog-floor / #catalog-compare-interior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B10.02,パンフレット0723,10,16–17,TY-02Dの除外条件,ライトクレイ調は足ざわり仕様が異なる。床暖房非対応種類あり,PC06/SP10 内装,選択条件なし,採用,P15 詳細・P31,Q04,#catalog-floor / #catalog-conditions,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B10.03,パンフレット0723,10,16–17,床の傷とキャスター,傷がつかない保証ではない。金属/球状キャスターや過大荷重を避ける等の注意,PC06/SP10 内装,手入れ説明なし,採用,P15 手入れ,Q04,#catalog-floor,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B10.04,パンフレット0723,10,16–17,シート床V溝,端部の白い線など素材上の見え方。実サンプルで確認,PC06/SP10 内装,説明なし,採用,P15 素材詳細,原資料照合済み。公開時の採用版確認は共通,#catalog-floor,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B10.05,パンフレット0723,10,16–17,京アトムジェニック,EIDAI、へこみ・傷への配慮、ワックス不要、ホットカーペット対応の紙面説明,PC06/SP10 内装,選択肢なし,採用,P15・P29,Q04,#catalog-floor / #catalog-compare-interior,基礎説明を掲載／追加条件を保留,名称と手入れを掲載。ホットカーペットへの個別対応は未確定につき非掲載。
B10.06,パンフレット0723,10,16–17,京銘木フロアーラスティック,ikuta、天然銘木突き板、マットUV塗装、床暖房対応の紙面説明,PC06/SP10 内装,選択肢なし,採用,P15・P29,Q04,#catalog-floor / #catalog-compare-interior,基礎説明を掲載／追加条件を保留,天然突板・マット塗装を掲載。床暖房一律対応は非掲載。
B10.07,パンフレット0723,10,16–17,ラスティック材の特徴,天然木の節・割れ・色差。12mm断面の図、樹種選択は採用製品と照合,PC06/SP10 内装,実物比較なし,採用,P15 詳細,原資料照合済み。公開時の採用版確認は共通,#catalog-floor,基礎説明を掲載／追加条件を保留,節・木目・色差を掲載。12mm断面・樹種の選択範囲は非掲載。
B10.08,パンフレット0723,10,16–17,床材の衛生試験,抗ウイルス・抗菌・VOC/臭い低減はメーカー試験と表面の性能。疾病予防や家全体効果にしない,PC06/SP10 内装,試験対象・条件の完全な出典が必要,保留,P15 試験条件・P31,Q04,#catalog-floor / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B10.09,パンフレット0723,10,16–17,風アトムフィットGM,EIDAIのシリーズ別採用床,PC06/SP10 内装,床名なし,採用,P15・P29,原資料照合済み。公開時の採用版確認は共通,#catalog-floor / #catalog-compare-interior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B10.10,パンフレット0723,10,16–17,床の施工事例,色・光・面積で印象が変わる。画像表示と実物に色差あり,PC06/SP10 内装,写真だけで標準仕様を断定できない,採用,P15,Q10,#catalog-floor,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B11.01,パンフレット0723,11,18–19,ここち和座,DAIKEN、畳の共通選択材。樹脂加工された和紙畳表の説明,PC06/SP10 内装,和室写真のみ,採用,P16・P29,原資料照合済み。公開時の採用版確認は共通,#catalog-tatami-tile / #catalog-compare-interior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B11.02,パンフレット0723,11,18–19,畳の耐久試験,い草比約3倍の耐久試験。あらゆる使い方の寿命が3倍という意味ではない,PC06/SP10 内装,比較条件を近接掲載する必要,保留,P16 詳細・P31,Q04,#catalog-tatami-tile / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B11.03,パンフレット0723,11,18–19,畳のカビ試験,28℃湿度97％28日、比較写真14日など紙面条件。防カビの絶対保証にしない,PC06/SP10 内装,条件が揃ったメーカー原稿取得待ち,保留,P16 詳細・P31,Q04,#catalog-tatami-tile / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B11.04,パンフレット0723,11,18–19,畳の汚れ・色変化,撥水・汚れにくさ、UV2年相当試験。清掃と日常管理は必要,PC06/SP10 内装,数値試験を外して特徴は残す,採用,P16,原資料照合済み。公開時の採用版確認は共通,#catalog-tatami-tile,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B11.05,パンフレット0723,11,18–19,畳6色,グリーン、イエロー、アイボリー、ベージュ、ブラウン、ダークを実サンプルで比較,PC06/SP10 内装,色見本なし,採用,P16 色柄帳,Q04,#catalog-tatami-tile,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B11.06,パンフレット0723,11,18–19,Rivieraタイル4系統,A-ROCK、ETERNITY、GALAPAGOS、LUSERNA。共通選択枠,PC06/SP10 内装,タイル選択肢なし,採用,P16・P29,原資料照合済み。公開時の採用版確認は共通,#catalog-tatami-tile / #catalog-compare-interior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B11.07,パンフレット0723,11,18–19,磁器質タイルの特徴,硬さ・低吸水性・汚れにくさ、石目の柄差。原寸と湿潤時の触感を実物で確認,PC06/SP10 内装,性能と選び方なし,採用,P16,原資料照合済み。公開時の採用版確認は共通,#catalog-tatami-tile,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
